company,metric,fiscal_quarter,old_value_codex,new_value_factset,source
RRC,Adjusted EBITDAX,Q1 2024,335.653,336,FactSet E&P Company Model.xlsx (Actual)
RRC,Adjusted EBITDAX,Q2 2024,264.281,264,FactSet E&P Company Model.xlsx (Actual)
RRC,Adjusted EBITDAX,Q3 2024,276.225,276,FactSet E&P Company Model.xlsx (Actual)
RRC,Adjusted EBITDAX,Q4 2024,339.273,338.0585,FactSet E&P Company Model.xlsx (Actual)
RRC,Adjusted EBITDAX,Q1 2025,424.123,424,FactSet E&P Company Model.xlsx (Actual)
RRC,Adjusted EBITDAX,Q2 2025,329.024,329,FactSet E&P Company Model.xlsx (Actual)
RRC,Adjusted EBITDAX,Q3 2025,301.38,301,FactSet E&P Company Model.xlsx (Actual)
RRC,Adjusted EBITDAX,Q4 2025,379.452,379,FactSet E&P Company Model.xlsx (Actual)
RRC,Adjusted EBITDAX,Q1 2026,569.529,569.7645,FactSet E&P Company Model.xlsx (Actual)
RRC,Free Cash Flow,Q1 2024,137.898,166,FactSet E&P Company Model.xlsx (Actual)
RRC,Free Cash Flow,Q2 2024,61.902,61.451,FactSet E&P Company Model.xlsx (Actual)
RRC,Free Cash Flow,Q4 2024,158.654,158.7,FactSet E&P Company Model.xlsx (Actual)
RRC,Free Cash Flow,Q1 2025,250.391,244,FactSet E&P Company Model.xlsx (Actual)
RRC,Free Cash Flow,Q2 2025,146.511,147,FactSet E&P Company Model.xlsx (Actual)
RRC,Free Cash Flow,Q3 2025,89.254,89,FactSet E&P Company Model.xlsx (Actual)
RRC,Free Cash Flow,Q4 2025,169.532,166,FactSet E&P Company Model.xlsx (Actual)
RRC,Free Cash Flow,Q1 2026,405.933,405.9665,FactSet E&P Company Model.xlsx (Actual)
RRC,Capital Expenditures,Q4 2025,183.0,167,FactSet E&P Company Model.xlsx (Actual)
RRC,Net Debt,Q1 2024,1425.906,1426,FactSet E&P Company Model.xlsx (Actual)
RRC,Net Debt,Q2 2024,1470.084,1470,FactSet E&P Company Model.xlsx (Actual)
RRC,Net Debt,Q3 2024,1440.69,1441,FactSet E&P Company Model.xlsx (Actual)
RRC,Net Debt,Q4 2024,1404.212,1404,FactSet E&P Company Model.xlsx (Actual)
RRC,Net Debt,Q1 2025,1361.968,1441.032,FactSet E&P Company Model.xlsx (Actual)
RRC,Net Debt,Q2 2025,1224.866,1225,FactSet E&P Company Model.xlsx (Actual)
RRC,Net Debt,Q3 2025,1228.825,1229,FactSet E&P Company Model.xlsx (Actual)
RRC,Net Debt,Q4 2025,1217.796,1218,FactSet E&P Company Model.xlsx (Actual)
RRC,Net Debt,Q1 2026,833.753,826.5,FactSet E&P Company Model.xlsx (Actual)
AR,Natural Gas Production,Q1 2024,2219.78021978022,2216,FactSet E&P Company Model.xlsx (Actual)
AR,Natural Gas Production,Q2 2024,2153.846153846154,2149,FactSet E&P Company Model.xlsx (Actual)
AR,Natural Gas Production,Q3 2024,2173.913043478261,2170,FactSet E&P Company Model.xlsx (Actual)
AR,Natural Gas Production,Q4 2024,2119.565217391304,2100,FactSet E&P Company Model.xlsx (Actual)
AR,Natural Gas Production,Q1 2025,2166.666666666667,2162,FactSet E&P Company Model.xlsx (Actual)
AR,Natural Gas Production,Q2 2025,2230.769230769231,2230,FactSet E&P Company Model.xlsx (Actual)
AR,Natural Gas Production,Q3 2025,2195.652173913043,2195,FactSet E&P Company Model.xlsx (Actual)
AR,Natural Gas Production,Q4 2025,2260.869565217391,2265,FactSet E&P Company Model.xlsx (Actual)
AR,Natural Gas Production,Q1 2026,2622.222222222222,2617,FactSet E&P Company Model.xlsx (Actual)
AR,NGL Production,Q1 2024,190.3736263736264,190.387,FactSet E&P Company Model.xlsx (Actual)
AR,NGL Production,Q2 2024,201.3736263736264,201.387,FactSet E&P Company Model.xlsx (Actual)
AR,NGL Production,Q3 2024,196.6847826086957,196.7,FactSet E&P Company Model.xlsx (Actual)
AR,NGL Production,Q4 2024,207.4021739130435,207.4,FactSet E&P Company Model.xlsx (Actual)
AR,NGL Production,Q1 2025,196.3444444444444,196.3,FactSet E&P Company Model.xlsx (Actual)
AR,NGL Production,Q2 2025,192.6593406593407,192.7,FactSet E&P Company Model.xlsx (Actual)
AR,NGL Production,Q3 2025,198.945652173913,198.9,FactSet E&P Company Model.xlsx (Actual)
AR,NGL Production,Q4 2025,199.4130434782609,199.4,FactSet E&P Company Model.xlsx (Actual)
AR,NGL Production,Q1 2026,196.7555555555556,120.8,FactSet E&P Company Model.xlsx (Actual)
AR,Oil / Condensate Production,Q1 2024,11.37362637362637,11.4,FactSet E&P Company Model.xlsx (Actual)
AR,Oil / Condensate Production,Q2 2024,10.46153846153846,10.5,FactSet E&P Company Model.xlsx (Actual)
AR,Oil / Condensate Production,Q3 2024,9.304347826086957,9.3,FactSet E&P Company Model.xlsx (Actual)
AR,Oil / Condensate Production,Q4 2024,9.23913043478261,9.2,FactSet E&P Company Model.xlsx (Actual)
AR,Oil / Condensate Production,Q1 2025,9.466666666666667,9.5,FactSet E&P Company Model.xlsx (Actual)
AR,Oil / Condensate Production,Q2 2025,7.384615384615385,7.385,FactSet E&P Company Model.xlsx (Actual)
AR,Oil / Condensate Production,Q3 2025,6.728260869565218,6.7,FactSet E&P Company Model.xlsx (Actual)
AR,Oil / Condensate Production,Q4 2025,8.217391304347826,8.217,FactSet E&P Company Model.xlsx (Actual)
AR,Oil / Condensate Production,Q1 2026,9.066666666666666,9.067,FactSet E&P Company Model.xlsx (Actual)
AR,Total Production,Q1 2024,3426.0,3426.722,FactSet E&P Company Model.xlsx (Actual)
AR,Total Production,Q2 2024,3420.0,3420.322,FactSet E&P Company Model.xlsx (Actual)
AR,Total Production,Q4 2024,3434.782608695652,3399.6,FactSet E&P Company Model.xlsx (Actual)
AR,Total Production,Q1 2025,3397.0,3396.8,FactSet E&P Company Model.xlsx (Actual)
AR,Total Production,Q2 2025,3430.0,3430.5099999999998,FactSet E&P Company Model.xlsx (Actual)
AR,Total Production,Q3 2025,3429.0,3428.6,FactSet E&P Company Model.xlsx (Actual)
AR,Total Production,Q4 2025,3510.869565217391,3510.702,FactSet E&P Company Model.xlsx (Actual)
AR,Total Production,Q1 2026,3852.0,3396.202,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Natural Gas Price,Q1 2024,2.35,2.36,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Natural Gas Price,Q2 2024,1.92,1.94,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Natural Gas Price,Q3 2024,2.13,2.14,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Natural Gas Price,Q4 2024,2.788687179487179,2.76,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Natural Gas Price,Q1 2025,4.01,3.95,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Natural Gas Price,Q2 2025,3.39,3.36,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Natural Gas Price,Q4 2025,3.719211538461539,3.72,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Natural Gas Price,Q1 2026,5.57,4.86,FactSet E&P Company Model.xlsx (Actual)
AR,Realized NGL Price,Q1 2024,29.8882475180097,43.03,FactSet E&P Company Model.xlsx (Actual)
AR,Realized NGL Price,Q2 2024,26.69401555252388,40.44,FactSet E&P Company Model.xlsx (Actual)
AR,Realized NGL Price,Q3 2024,27.86631610942249,41.56,FactSet E&P Company Model.xlsx (Actual)
AR,Realized NGL Price,Q4 2024,29.124416960326,44.43,FactSet E&P Company Model.xlsx (Actual)
AR,Realized NGL Price,Q1 2025,31.77335464885972,45.65,FactSet E&P Company Model.xlsx (Actual)
AR,Realized NGL Price,Q2 2025,27.4225690189368,37.92,FactSet E&P Company Model.xlsx (Actual)
AR,Realized NGL Price,Q3 2025,25.70048735180025,36.6,FactSet E&P Company Model.xlsx (Actual)
AR,Realized NGL Price,Q4 2025,25.85081216613976,35.41,FactSet E&P Company Model.xlsx (Actual)
AR,Realized NGL Price,Q1 2026,28.44147278066524,37.9,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Oil / Condensate Price,Q1 2024,62.53,62.39,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Oil / Condensate Price,Q2 2024,66.66,66.5,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Oil / Condensate Price,Q3 2024,61.59,61.46,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Oil / Condensate Price,Q4 2024,57.79764705882351,57.69,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Oil / Condensate Price,Q1 2025,59.08,58.97,FactSet E&P Company Model.xlsx (Actual)
AR,Realized Oil / Condensate Price,Q4 2025,45.994708994709,45.99,FactSet E&P Company Model.xlsx (Actual)
AR,Adjusted EBITDAX,Q1 2024,262.087,262,FactSet E&P Company Model.xlsx (Actual)
AR,Adjusted EBITDAX,Q2 2024,151.402,151,FactSet E&P Company Model.xlsx (Actual)
AR,Adjusted EBITDAX,Q3 2024,186.9,187,FactSet E&P Company Model.xlsx (Actual)
AR,Adjusted EBITDAX,Q4 2024,331.936,332,FactSet E&P Company Model.xlsx (Actual)
AR,Adjusted EBITDAX,Q1 2025,549.428,549,FactSet E&P Company Model.xlsx (Actual)
AR,Adjusted EBITDAX,Q2 2025,379.464,379,FactSet E&P Company Model.xlsx (Actual)
AR,Adjusted EBITDAX,Q3 2025,318.24,318,FactSet E&P Company Model.xlsx (Actual)
AR,Adjusted EBITDAX,Q4 2025,422.145,422,FactSet E&P Company Model.xlsx (Actual)
AR,Adjusted EBITDAX,Q1 2026,723.418,723,FactSet E&P Company Model.xlsx (Actual)
AR,Free Cash Flow,Q1 2024,10.82,29.874,FactSet E&P Company Model.xlsx (Actual)
AR,Free Cash Flow,Q2 2024,-63.153,-42.8755,FactSet E&P Company Model.xlsx (Actual)
AR,Free Cash Flow,Q3 2024,-30.751,-6,FactSet E&P Company Model.xlsx (Actual)
AR,Free Cash Flow,Q4 2024,134.036,160,FactSet E&P Company Model.xlsx (Actual)
AR,Free Cash Flow,Q1 2025,235.625,336.4715,FactSet E&P Company Model.xlsx (Actual)
AR,Free Cash Flow,Q2 2025,262.437,179,FactSet E&P Company Model.xlsx (Actual)
AR,Free Cash Flow,Q3 2025,90.906,-145.5,FactSet E&P Company Model.xlsx (Actual)
AR,Free Cash Flow,Q4 2025,156.016,186.5,FactSet E&P Company Model.xlsx (Actual)
AR,Free Cash Flow,Q1 2026,657.451,464.55,FactSet E&P Company Model.xlsx (Actual)
AR,Capital Expenditures,Q1 2024,219.0,213,FactSet E&P Company Model.xlsx (Actual)
AR,Capital Expenditures,Q2 2024,188.0,164,FactSet E&P Company Model.xlsx (Actual)
AR,Capital Expenditures,Q3 2024,172.0,171,FactSet E&P Company Model.xlsx (Actual)
AR,Capital Expenditures,Q4 2024,143.0,142,FactSet E&P Company Model.xlsx (Actual)
AR,Capital Expenditures,Q1 2025,188.0,206.145,FactSet E&P Company Model.xlsx (Actual)
AR,Capital Expenditures,Q2 2025,199.0,208.409,FactSet E&P Company Model.xlsx (Actual)
AR,Capital Expenditures,Q3 2025,217.0,173.63,FactSet E&P Company Model.xlsx (Actual)
AR,Capital Expenditures,Q4 2025,193.0,202.909,FactSet E&P Company Model.xlsx (Actual)
AR,Capital Expenditures,Q1 2026,252.0,206.101,FactSet E&P Company Model.xlsx (Actual)
AR,Net Debt,Q1 2024,1519.285,1715.5,FactSet E&P Company Model.xlsx (Actual)
AR,Net Debt,Q2 2024,1599.985,2016,FactSet E&P Company Model.xlsx (Actual)
AR,Net Debt,Q3 2024,1630.685,2035,FactSet E&P Company Model.xlsx (Actual)
AR,Net Debt,Q4 2024,1497.185,1878,FactSet E&P Company Model.xlsx (Actual)
AR,Net Debt,Q1 2025,1292.575,1566.3545,FactSet E&P Company Model.xlsx (Actual)
AR,Net Debt,Q2 2025,1105.353,1285.5,FactSet E&P Company Model.xlsx (Actual)
AR,Net Debt,Q3 2025,1313.553,1499.963,FactSet E&P Company Model.xlsx (Actual)
AR,Net Debt,Q4 2025,1403.953,1393.5,FactSet E&P Company Model.xlsx (Actual)
AR,Net Debt,Q1 2026,2686.5,2665,FactSet E&P Company Model.xlsx (Actual)
CNX,Natural Gas Production,Q1 2024,1416.945054945055,1417.6,FactSet E&P Company Model.xlsx (Actual)
CNX,Natural Gas Production,Q2 2024,1334.626373626374,1335.1648,FactSet E&P Company Model.xlsx (Actual)
CNX,Natural Gas Production,Q3 2024,1314.130434782609,1314.1,FactSet E&P Company Model.xlsx (Actual)
CNX,Natural Gas Production,Q4 2024,1365.521739130435,1364.1,FactSet E&P Company Model.xlsx (Actual)
CNX,Natural Gas Production,Q1 2025,1504.533333333333,1504,FactSet E&P Company Model.xlsx (Actual)
CNX,Natural Gas Production,Q2 2025,1717.703296703297,1717.6,FactSet E&P Company Model.xlsx (Actual)
CNX,Natural Gas Production,Q3 2025,1618.913043478261,1619.5826,FactSet E&P Company Model.xlsx (Actual)
CNX,Natural Gas Production,Q4 2025,1521.119565217391,1521.7,FactSet E&P Company Model.xlsx (Actual)
CNX,Natural Gas Production,Q1 2026,1543.8,1544.2,FactSet E&P Company Model.xlsx (Actual)
CNX,NGL Production,Q1 2024,20.58241758241758,20.5,FactSet E&P Company Model.xlsx (Actual)
CNX,NGL Production,Q2 2024,22.78021978021978,22.70531,FactSet E&P Company Model.xlsx (Actual)
CNX,NGL Production,Q3 2024,23.90217391304348,23.9,FactSet E&P Company Model.xlsx (Actual)
CNX,NGL Production,Q4 2024,29.1195652173913,29.3,FactSet E&P Company Model.xlsx (Actual)
CNX,NGL Production,Q2 2025,20.35164835164835,20.3,FactSet E&P Company Model.xlsx (Actual)
CNX,NGL Production,Q3 2025,21.81521739130435,21.7,FactSet E&P Company Model.xlsx (Actual)
CNX,NGL Production,Q4 2025,21.89130434782609,21.9,FactSet E&P Company Model.xlsx (Actual)
CNX,NGL Production,Q1 2026,24.22222222222222,24.3,FactSet E&P Company Model.xlsx (Actual)
CNX,Oil / Condensate Production,Q1 2024,0.3186813186813187,0.3831502,FactSet E&P Company Model.xlsx (Actual)
CNX,Oil / Condensate Production,Q2 2024,0.1978021978021978,0.2,FactSet E&P Company Model.xlsx (Actual)
CNX,Oil / Condensate Production,Q3 2024,0.717391304347826,0.7,FactSet E&P Company Model.xlsx (Actual)
CNX,Oil / Condensate Production,Q4 2024,0.4782608695652174,0.4,FactSet E&P Company Model.xlsx (Actual)
CNX,Oil / Condensate Production,Q1 2025,0.3666666666666666,0.4,FactSet E&P Company Model.xlsx (Actual)
CNX,Oil / Condensate Production,Q2 2025,0.3406593406593407,0.3831502,FactSet E&P Company Model.xlsx (Actual)
CNX,Oil / Condensate Production,Q3 2025,0.5760869565217391,0.5,FactSet E&P Company Model.xlsx (Actual)
CNX,Oil / Condensate Production,Q4 2025,0.3804347826086957,0.4,FactSet E&P Company Model.xlsx (Actual)
CNX,Oil / Condensate Production,Q1 2026,0.6444444444444445,0.6,FactSet E&P Company Model.xlsx (Actual)
CNX,Total Production,Q1 2024,1542.857142857143,1542.8989012,FactSet E&P Company Model.xlsx (Actual)
CNX,Total Production,Q2 2024,1472.527472527473,1472.5966600000002,FactSet E&P Company Model.xlsx (Actual)
CNX,Total Production,Q3 2024,1461.95652173913,1461.7,FactSet E&P Company Model.xlsx (Actual)
CNX,Total Production,Q4 2024,1543.478260869565,1542.3,FactSet E&P Company Model.xlsx (Actual)
CNX,Total Production,Q1 2025,1642.222222222222,1642,FactSet E&P Company Model.xlsx (Actual)
CNX,Total Production,Q2 2025,1841.758241758242,1841.6989012,FactSet E&P Company Model.xlsx (Actual)
CNX,Total Production,Q3 2025,1753.260869565217,1752.7826,FactSet E&P Company Model.xlsx (Actual)
CNX,Total Production,Q4 2025,1655.434782608696,1655.5,FactSet E&P Company Model.xlsx (Actual)
CNX,Total Production,Q1 2026,1693.333333333333,1693.6,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized Natural Gas Price,Q1 2024,2.17,2.59,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized Natural Gas Price,Q2 2024,1.6,2.51,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized Natural Gas Price,Q3 2024,1.73,2.51,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized Natural Gas Price,Q4 2024,2.414063743751393,2.59,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized Natural Gas Price,Q1 2025,3.66,2.86,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized Natural Gas Price,Q2 2025,2.84,2.61,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized Natural Gas Price,Q3 2025,2.43,2.57,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized Natural Gas Price,Q4 2025,3.120106043174721,2.7,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized Natural Gas Price,Q1 2026,4.74,3.15,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized NGL Price,Q4 2024,21.86786114221724,21.84,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized NGL Price,Q4 2025,18.91310824230387,18.9,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized Oil / Condensate Price,Q4 2024,58.06818181818182,57.54,FactSet E&P Company Model.xlsx (Actual)
CNX,Realized Oil / Condensate Price,Q4 2025,53.91428571428571,52.98,FactSet E&P Company Model.xlsx (Actual)
CNX,Revenue,Q4 2024,136.578,136.577,FactSet E&P Company Model.xlsx (Actual)
CNX,Capital Expenditures,Q1 2024,168.0,168.184,FactSet E&P Company Model.xlsx (Actual)
CNX,Capital Expenditures,Q2 2024,152.0,151.916,FactSet E&P Company Model.xlsx (Actual)
CNX,Capital Expenditures,Q3 2024,115.0,114.737,FactSet E&P Company Model.xlsx (Actual)
CNX,Capital Expenditures,Q4 2024,105.3,105.495,FactSet E&P Company Model.xlsx (Actual)
CNX,Capital Expenditures,Q1 2025,131.0,131.465,FactSet E&P Company Model.xlsx (Actual)
CNX,Capital Expenditures,Q2 2025,114.0,113.565,FactSet E&P Company Model.xlsx (Actual)
CNX,Capital Expenditures,Q3 2025,76.0,75.544,FactSet E&P Company Model.xlsx (Actual)
CNX,Capital Expenditures,Q4 2025,174.0,174.414,FactSet E&P Company Model.xlsx (Actual)
CNX,Capital Expenditures,Q1 2026,170.0,169.906,FactSet E&P Company Model.xlsx (Actual)
CNX,Net Debt,Q1 2024,2277.33,#N/A,FactSet E&P Company Model.xlsx (Actual)
CNX,Net Debt,Q2 2024,2288.664,2404.7837,FactSet E&P Company Model.xlsx (Actual)
CNX,Net Debt,Q3 2024,2293.5,2465.697,FactSet E&P Company Model.xlsx (Actual)
CNX,Net Debt,Q4 2024,2158.188,#N/A,FactSet E&P Company Model.xlsx (Actual)
CNX,Net Debt,Q1 2025,2688.535,2813.6536,FactSet E&P Company Model.xlsx (Actual)
CNX,Net Debt,Q2 2025,2621.496,2802.747,FactSet E&P Company Model.xlsx (Actual)
CNX,Net Debt,Q3 2025,2580.492,#N/A,FactSet E&P Company Model.xlsx (Actual)
CNX,Net Debt,Q4 2025,2428.642,#N/A,FactSet E&P Company Model.xlsx (Actual)
CNX,Net Debt,Q1 2026,2375.08,#N/A,FactSet E&P Company Model.xlsx (Actual)
CRK,Natural Gas Production,Q1 2024,1532.340659340659,1532.3,FactSet E&P Company Model.xlsx (Actual)
CRK,Natural Gas Production,Q2 2024,1438.032967032967,1438,FactSet E&P Company Model.xlsx (Actual)
CRK,Natural Gas Production,Q3 2024,1446.913043478261,1446.9131,FactSet E&P Company Model.xlsx (Actual)
CRK,Natural Gas Production,Q4 2024,1349.217391304348,1349.2,FactSet E&P Company Model.xlsx (Actual)
CRK,Natural Gas Production,Q2 2025,1232.571428571429,1233,FactSet E&P Company Model.xlsx (Actual)
CRK,Natural Gas Production,Q3 2025,1214.891304347826,1214.9,FactSet E&P Company Model.xlsx (Actual)
CRK,Natural Gas Production,Q4 2025,1209.119565217391,1209.1,FactSet E&P Company Model.xlsx (Actual)
CRK,Natural Gas Production,Q1 2026,1087.277777777778,1087.3,FactSet E&P Company Model.xlsx (Actual)
CRK,Oil / Condensate Production,Q1 2024,0.1318681318681319,0.1,FactSet E&P Company Model.xlsx (Actual)
CRK,Oil / Condensate Production,Q2 2024,0.1648351648351648,0.2,FactSet E&P Company Model.xlsx (Actual)
CRK,Oil / Condensate Production,Q3 2024,0.1413043478260869,0.1,FactSet E&P Company Model.xlsx (Actual)
CRK,Oil / Condensate Production,Q4 2024,0.108695652173913,0.1,FactSet E&P Company Model.xlsx (Actual)
CRK,Oil / Condensate Production,Q1 2025,0.1111111111111111,0.1,FactSet E&P Company Model.xlsx (Actual)
CRK,Oil / Condensate Production,Q2 2025,0.1428571428571428,0.1,FactSet E&P Company Model.xlsx (Actual)
CRK,Oil / Condensate Production,Q3 2025,0.1195652173913044,0.1,FactSet E&P Company Model.xlsx (Actual)
CRK,Oil / Condensate Production,Q4 2025,0.03260869565217391,0,FactSet E&P Company Model.xlsx (Actual)
CRK,Oil / Condensate Production,Q1 2026,0.1222222222222222,0.1,FactSet E&P Company Model.xlsx (Actual)
CRK,Total Production,Q1 2024,1533.131868131868,1532.8999999999999,FactSet E&P Company Model.xlsx (Actual)
CRK,Total Production,Q2 2024,1439.0,1439.2,FactSet E&P Company Model.xlsx (Actual)
CRK,Total Production,Q3 2024,1447.804347826087,1447.5131,FactSet E&P Company Model.xlsx (Actual)
CRK,Total Production,Q4 2024,1349.836956521739,1349.8,FactSet E&P Company Model.xlsx (Actual)
CRK,Total Production,Q1 2025,1278.788888888889,1278.6999999999998,FactSet E&P Company Model.xlsx (Actual)
CRK,Total Production,Q2 2025,1233.384615384615,1233.6,FactSet E&P Company Model.xlsx (Actual)
CRK,Total Production,Q3 2025,1215.619565217391,1215.5,FactSet E&P Company Model.xlsx (Actual)
CRK,Total Production,Q4 2025,1209.315217391304,#N/A,FactSet E&P Company Model.xlsx (Actual)
CRK,Total Production,Q1 2026,1087.988888888889,1087.8999999999999,FactSet E&P Company Model.xlsx (Actual)
CRK,Realized Natural Gas Price,Q1 2024,2.06,2.4,FactSet E&P Company Model.xlsx (Actual)
CRK,Realized Natural Gas Price,Q2 2024,1.65,2.12,FactSet E&P Company Model.xlsx (Actual)
CRK,Realized Natural Gas Price,Q3 2024,1.9,2.28,FactSet E&P Company Model.xlsx (Actual)
CRK,Realized Natural Gas Price,Q4 2024,2.317172596029905,2.7,FactSet E&P Company Model.xlsx (Actual)
CRK,Realized Natural Gas Price,Q1 2025,3.58,3.52,FactSet E&P Company Model.xlsx (Actual)
CRK,Realized Natural Gas Price,Q2 2025,3.02,3.06,FactSet E&P Company Model.xlsx (Actual)
CRK,Realized Natural Gas Price,Q3 2025,2.75,2.99,FactSet E&P Company Model.xlsx (Actual)
CRK,Realized Natural Gas Price,Q4 2025,3.294168412157607,3.27,FactSet E&P Company Model.xlsx (Actual)
CRK,Realized Natural Gas Price,Q1 2026,4.27,3.45,FactSet E&P Company Model.xlsx (Actual)
CRK,Revenue,Q4 2024,367.381,366.506,FactSet E&P Company Model.xlsx (Actual)
CRK,Revenue,Q4 2025,787.321,789.814,FactSet E&P Company Model.xlsx (Actual)
CRK,Adjusted EBITDAX,Q1 2024,229.583,230,FactSet E&P Company Model.xlsx (Actual)
CRK,Adjusted EBITDAX,Q2 2024,166.705,167,FactSet E&P Company Model.xlsx (Actual)
CRK,Adjusted EBITDAX,Q3 2024,201.671,202,FactSet E&P Company Model.xlsx (Actual)
CRK,Adjusted EBITDAX,Q4 2024,252.223,252,FactSet E&P Company Model.xlsx (Actual)
CRK,Adjusted EBITDAX,Q1 2025,293.031,293,FactSet E&P Company Model.xlsx (Actual)
CRK,Adjusted EBITDAX,Q2 2025,259.74,260,FactSet E&P Company Model.xlsx (Actual)
CRK,Adjusted EBITDAX,Q3 2025,249.115,249,FactSet E&P Company Model.xlsx (Actual)
